SK1,SK2,SB1,SB2,SG1,SY1,SY2,SY3,SO1,SP1,SV1,SR1,SR2,SR3,SW1,Base_A,Base_B,Base_C,UT578_A,UT578_AF,UT578_AS,UT6581,Pred_L,Pred_a,Pred_b,Target_L,Target_a,Target_b,Delta_E
0.0,0.0,0.0,0.0,486.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,26.0,379.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,50.28014,-30.080006,6.1995325,50.38,-30.1,6.08,0.15703448612686227
0.0,307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,35.0,0.0,0.0,594.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,41.193935,-0.092175916,-5.2350526,41.08,-0.15,-5.33,0.15918514466343317
0.0,38.0,0.0,562.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,41.019905,-14.151003,-22.47963,41.18,-14.16,-22.47,0.16063640866718643
0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1050.0,3.0,0.0,120.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,37.549282,25.474924,-2.637571,37.56,25.41,-2.49,0.16157734859147013
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,0.0,653.0,0.0,0.0,64.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,42.20831,46.685886,-0.4523595,42.2,46.53,-0.5,0.16321526969646594
0.0,526.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,315.0,0.0,144.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,30.28256,3.0117023,-1.5887089,30.25,3.14,-1.69,0.1666744366457801
26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,312.0,533.0,0.0,213.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,43.621426,43.92645,13.506028,43.59,43.78,13.43,0.16797354272607296
0.0,0.0,0.0,0.0,16.0,92.0,0.0,0.0,0.0,0.0,347.0,0.0,648.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,34.971718,22.483444,8.334064,34.9,22.41,8.19999999999999,0.16885061563278428
0.0,25.0,0.0,570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,175.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,38.299297,-4.257516,-26.301609,38.17,-4.36,-26.34,0.16939496858479194
0.0,299.0,0.0,0.0,0.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,480.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,39.08772,-0.14758416,-0.105798386,39.14,0.01,-0.06,0.17223113800638587
